x,y
15.075,13
15.525,25
15.975,17
16.425,21
16.875,15
17.325,18
17.775,11
18.225,14
18.675,15
19.125,14
19.575,12
20.025,13
20.475,10
20.925,6
21.375,9
21.825,10
22.275,13
22.725,5
23.175,6
23.625,4
24.075,7
24.525,7
24.975,9
25.425,7
25.875,5
26.325,8
26.775,4
27.225,10
27.675,4
28.125,6
28.575,7
29.025,6
29.475,3
29.925,8
30.375,5
30.825,3
31.275,8
31.725,8
32.175,5
32.625,6
33.075,6
33.525,10
33.975,5
34.875,3
35.325,2
36.225,1
36.675,7
37.125,4
37.575,2
38.025,1
38.475,4
38.925,5
39.375,6
39.825,8
40.275,4
40.725,6
41.175,5
41.625,2
42.075,3
42.525,3
42.975,1
43.425,4
43.875,4
44.325,3
44.775,1
45.225,1
45.675,4
46.125,1
46.575,3
47.025,5
47.475,2
48.375,2
48.825,3
49.275,2
49.725,2
50.175,1
50.625,3
51.075,5
51.525,5
51.975,3
52.425,3
52.875,3
53.325,1
53.775,1
54.225,4
54.675,1
55.125,2
55.575,1
56.025,4
56.925,6
57.375,2
57.825,1
58.275,2
58.725,3
59.175,1
60.075,126
